writer,male,file_name,isEng,same_text,x,y,x2,y2,n_cc,black_ratio
0007,1,c:\Users\andre\VsCode\PD related projects\gender_detection\notebooks\pipeline_single_model\datasets\custom\0007_1.jpg,0,0,681,1362,1705,2386,356,0.9514350891113281
0008,1,c:\Users\andre\VsCode\PD related projects\gender_detection\notebooks\pipeline_single_model\datasets\custom\0008_1.jpg,0,0,1226,0,2149,923,274,0.9445928005737567
0007,1,c:\Users\andre\VsCode\PD related projects\gender_detection\notebooks\pipeline_single_model\datasets\custom\0007_1.jpg,0,0,1362,681,2386,1705,1252,0.8987369537353516
0008,1,c:\Users\andre\VsCode\PD related projects\gender_detection\notebooks\pipeline_single_model\datasets\custom\0008_1.jpg,0,0,0,1226,923,2149,1215,0.8307006804557657
0007,1,c:\Users\andre\VsCode\PD related projects\gender_detection\notebooks\pipeline_single_model\datasets\custom\0007_1.jpg,0,0,0,2043,1024,3067,2268,0.823150634765625
0008,1,c:\Users\andre\VsCode\PD related projects\gender_detection\notebooks\pipeline_single_model\datasets\custom\0008_1.jpg,0,0,613,1226,1536,2149,1384,0.7601642859909687
0008,1,c:\Users\andre\VsCode\PD related projects\gender_detection\notebooks\pipeline_single_model\datasets\custom\0008_1.jpg,0,0,1226,613,2149,1536,1295,0.7247575795635551
0007,1,c:\Users\andre\VsCode\PD related projects\gender_detection\notebooks\pipeline_single_model\datasets\custom\0007_1.jpg,0,0,681,2043,1705,3067,3095,0.7183389663696289
0007,1,c:\Users\andre\VsCode\PD related projects\gender_detection\notebooks\pipeline_single_model\datasets\custom\0007_1.jpg,0,0,2043,681,3067,1705,3431,0.7109451293945312
0007,1,c:\Users\andre\VsCode\PD related projects\gender_detection\notebooks\pipeline_single_model\datasets\custom\0007_1.jpg,0,0,1362,1362,2386,2386,3601,0.6113271713256836
0008,1,c:\Users\andre\VsCode\PD related projects\gender_detection\notebooks\pipeline_single_model\datasets\custom\0008_1.jpg,0,0,1839,0,2762,923,2261,0.5986203075608414
0007,1,c:\Users\andre\VsCode\PD related projects\gender_detection\notebooks\pipeline_single_model\datasets\custom\0007_1.jpg,0,0,2043,2043,3067,3067,349,0.45462894439697266
0008,1,c:\Users\andre\VsCode\PD related projects\gender_detection\notebooks\pipeline_single_model\datasets\custom\0008_1.jpg,0,0,1226,1226,2149,2149,2036,0.4136260181306189
0007,1,c:\Users\andre\VsCode\PD related projects\gender_detection\notebooks\pipeline_single_model\datasets\custom\0007_1.jpg,0,0,2043,1362,3067,2386,3405,0.41283607482910156
0007,1,c:\Users\andre\VsCode\PD related projects\gender_detection\notebooks\pipeline_single_model\datasets\custom\0007_1.jpg,0,0,1362,2043,2386,3067,2875,0.3959827423095703
0008,1,c:\Users\andre\VsCode\PD related projects\gender_detection\notebooks\pipeline_single_model\datasets\custom\0008_1.jpg,0,0,1839,613,2762,1536,2105,0.2835377126497631
0007,1,c:\Users\andre\VsCode\PD related projects\gender_detection\notebooks\pipeline_single_model\datasets\custom\0007_1.jpg,0,0,2043,2724,3067,3748,333,0.2833442687988281
0008,1,c:\Users\andre\VsCode\PD related projects\gender_detection\notebooks\pipeline_single_model\datasets\custom\0008_1.jpg,0,0,1839,1226,2762,2149,431,0.2708277332970236
0007,1,c:\Users\andre\VsCode\PD related projects\gender_detection\notebooks\pipeline_single_model\datasets\custom\0007_1.jpg,0,0,0,2724,1024,3748,3127,0.22161579132080078
0007,1,c:\Users\andre\VsCode\PD related projects\gender_detection\notebooks\pipeline_single_model\datasets\custom\0007_1.jpg,0,0,681,2724,1705,3748,3392,0.19812488555908203
0007,1,c:\Users\andre\VsCode\PD related projects\gender_detection\notebooks\pipeline_single_model\datasets\custom\0007_1.jpg,0,0,1362,2724,2386,3748,1289,0.08696937561035156
